ile,archipel,superficie_km2,groupe,statut,nb_especes
Grande Comore,Comores,1148,Reptiles,VU,2
Grande Comore,Comores,1148,Reptiles,EN,1
Grande Comore,Comores,1148,Amphibiens,Non menacé,2
Grande Comore,Comores,1148,Amphibiens,NT,1
Grande Comore,Comores,1148,Mammifères terrestres,Non menacé,5
Grande Comore,Comores,1148,Mammifères terrestres,NT,1
Grande Comore,Comores,1148,Mammifères terrestres,VU,1
Grande Comore,Comores,1148,Insectes,Non menacé,55
Grande Comore,Comores,1148,Insectes,NT,8
Grande Comore,Comores,1148,Insectes,VU,7
Grande Comore,Comores,1148,Insectes,EN,3
Grande Comore,Comores,1148,Insectes,CR,1
Grande Comore,Comores,1148,Mollusques,Non menacé,18
Grande Comore,Comores,1148,Mollusques,NT,3
Grande Comore,Comores,1148,Mollusques,VU,3
Grande Comore,Comores,1148,Mollusques,EN,2
Anjouan,Comores,424,Plantes vasculaires,Non menacé,90
Anjouan,Comores,424,Plantes vasculaires,NT,18
Anjouan,Comores,424,Plantes vasculaires,VU,14
Anjouan,Comores,424,Plantes vasculaires,EN,8
Anjouan,Comores,424,Plantes vasculaires,CR,2
Anjouan,Comores,424,Oiseaux,Non menacé,15
Anjouan,Comores,424,Oiseaux,NT,2
Anjouan,Comores,424,Oiseaux,VU,2
Anjouan,Comores,424,Oiseaux,EN,1
Anjouan,Comores,424,Reptiles,Non menacé,7
Anjouan,Comores,424,Reptiles,NT,1
Anjouan,Comores,424,Reptiles,VU,1
Anjouan,Comores,424,Amphibiens,Non menacé,1
Anjouan,Comores,424,Mammifères terrestres,Non menacé,3
Anjouan,Comores,424,Mammifères terrestres,VU,1
Anjouan,Comores,424,Insectes,Non menacé,32
Anjouan,Comores,424,Insectes,NT,4
Anjouan,Comores,424,Insectes,VU,4
Anjouan,Comores,424,Insectes,EN,2
Anjouan,Comores,424,Mollusques,Non menacé,10
Anjouan,Comores,424,Mollusques,NT,2
Anjouan,Comores,424,Mollusques,VU,2
Anjouan,Comores,424,Mollusques,EN,1
Mohéli,Comores,290,Plantes vasculaires,Non menacé,80
Mohéli,Comores,290,Plantes vasculaires,NT,14
Mohéli,Comores,290,Plantes vasculaires,VU,10
Mohéli,Comores,290,Plantes vasculaires,EN,5
Mohéli,Comores,290,Plantes vasculaires,CR,1
Mohéli,Comores,290,Oiseaux,Non menacé,16
Mohéli,Comores,290,Oiseaux,NT,2
Mohéli,Comores,290,Oiseaux,VU,1
Mohéli,Comores,290,Oiseaux,EN,1
Mohéli,Comores,290,Reptiles,Non menacé,6
Mohéli,Comores,290,Reptiles,NT,1
Mohéli,Comores,290,Reptiles,VU,1
Mohéli,Comores,290,Amphibiens,Non menacé,1
Mohéli,Comores,290,Mammifères terrestres,Non menacé,3
Mohéli,Comores,290,Insectes,Non menacé,25
Mohéli,Comores,290,Insectes,NT,3
Mohéli,Comores,290,Insectes,VU,3
Mohéli,Comores,290,Insectes,EN,1
Mohéli,Comores,290,Mollusques,Non menacé,8
Mohéli,Comores,290,Mollusques,NT,1
Mohéli,Comores,290,Mollusques,VU,1
Mohéli,Comores,290,Mollusques,EN,1
