pays,zone,annee,culture,production_tonnes,surface_ha,rendement_kg_ha,valeur_production_kUSD
Madagascar,Afrique de l'Est,2001,Canne à sucre,2183540.0,37764.0,57819.9,611391.3
Madagascar,Afrique de l'Est,2001,Vanille,2660.0,4164.0,638.7,106383.6
Madagascar,Afrique de l'Est,2001,Café,53823.0,139126.0,386.9,150705.2
Madagascar,Afrique de l'Est,2001,Girofle,13660.0,11532.0,1184.6,61471.1
Madagascar,Afrique de l'Est,2001,Noix de coco,88884.0,25896.0,3432.4,48886.2
Mozambique,Afrique de l'Est,2001,Canne à sucre,4144691.0,63397.0,65376.4,1160513.6
Mozambique,Afrique de l'Est,2001,Vanille,125.0,296.0,421.6,4984.7
Mozambique,Afrique de l'Est,2001,Café,22212.0,77418.0,286.9,62193.4
Mozambique,Afrique de l'Est,2001,Girofle,2017.0,2118.0,952.4,9078.6
Mozambique,Afrique de l'Est,2001,Noix de coco,20623.0,6672.0,3090.8,11342.5
Kenya,Afrique de l'Est,2001,Canne à sucre,5428862.0,73824.0,73538.3,1520081.5
Kenya,Afrique de l'Est,2001,Vanille,81.0,204.0,396.9,3235.5
Kenya,Afrique de l'Est,2001,Café,48542.0,80652.0,601.9,135917.8
Kenya,Afrique de l'Est,2001,Girofle,853.0,1190.0,716.8,3839.3
Kenya,Afrique de l'Est,2001,Noix de coco,144230.0,29923.0,4820.0,79326.6
Tanzania,Afrique de l'Est,2001,Canne à sucre,2384412.0,37469.0,63637.2,667635.4
Tanzania,Afrique de l'Est,2001,Vanille,210.0,511.0,410.8,8389.2
Tanzania,Afrique de l'Est,2001,Café,57960.0,141793.0,408.8,162286.6
Tanzania,Afrique de l'Est,2001,Girofle,,,,
Tanzania,Afrique de l'Est,2001,Noix de coco,575418.0,113639.0,5063.5,316479.7
Uganda,Afrique de l'Est,2001,Canne à sucre,1866055.0,36012.0,51818.2,522495.5
Uganda,Afrique de l'Est,2001,Vanille,64.0,176.0,362.7,2559.4
Uganda,Afrique de l'Est,2001,Café,265438.0,404252.0,656.6,743227.1
Uganda,Afrique de l'Est,2001,Girofle,195.0,306.0,637.7,878.0
Uganda,Afrique de l'Est,2001,Noix de coco,16544.0,5379.0,3075.8,9099.5
Ethiopia,Afrique de l'Est,2001,Canne à sucre,,,,
Ethiopia,Afrique de l'Est,2001,Vanille,31.0,107.0,284.4,1221.7
Ethiopia,Afrique de l'Est,2001,Café,471237.0,686087.0,686.8,1319464.8
Ethiopia,Afrique de l'Est,2001,Girofle,103.0,205.0,502.8,463.7
Maurice,Océan Indien,2001,Canne à sucre,3954782.0,57885.0,68321.9,1107338.9
Maurice,Océan Indien,2001,Vanille,10.0,20.0,496.7,390.9
Maurice,Océan Indien,2001,Girofle,192.0,208.0,921.8,864.8
Maurice,Océan Indien,2001,Noix de coco,8713.0,1687.0,5163.4,4792.2
Comores,Océan Indien,2001,Canne à sucre,15104.0,308.0,49112.5,4229.0
Comores,Océan Indien,2001,Vanille,368.0,628.0,586.4,14735.9
Comores,Océan Indien,2001,Café,5424.0,15686.0,345.8,15188.5
Comores,Océan Indien,2001,Girofle,8921.0,8550.0,1043.4,40142.9
Comores,Océan Indien,2001,Noix de coco,57389.0,12295.0,4667.5,31563.9
Seychelles,Océan Indien,2001,Vanille,6.0,13.0,438.4,221.0
Seychelles,Océan Indien,2001,Girofle,51.0,66.0,780.2,230.5
Seychelles,Océan Indien,2001,Noix de coco,3525.0,557.0,6333.1,1938.7
Réunion,Océan Indien,2001,Canne à sucre,1846552.0,23810.0,77552.1,517034.7
Réunion,Océan Indien,2001,Vanille,24.0,39.0,621.5,970.5
Réunion,Océan Indien,2001,Café,523.0,1234.0,423.5,1464.0
Réunion,Océan Indien,2001,Girofle,33.0,39.0,851.9,149.8
Réunion,Océan Indien,2001,Noix de coco,5812.0,1030.0,5644.4,3196.4
Brésil,Amériques tropicales,2001,Canne à sucre,651354902.0,9075237.0,71772.8,182379372.6
Brésil,Amériques tropicales,2001,Vanille,157.0,313.0,500.0,6262.8
Brésil,Amériques tropicales,2001,Café,3212894.0,2511013.0,1279.5,8996103.7
Brésil,Amériques tropicales,2001,Girofle,15997.0,12684.0,1261.2,71987.2
Brésil,Amériques tropicales,2001,Noix de coco,2748588.0,473083.0,5810.0,1511723.6
Inde,Asie tropicale,2001,Canne à sucre,,,,
Inde,Asie tropicale,2001,Vanille,215.0,312.0,687.5,8587.4
Inde,Asie tropicale,2001,Café,350804.0,436727.0,803.3,982251.3
Inde,Asie tropicale,2001,Girofle,81527.0,52784.0,1544.5,366873.2
Inde,Asie tropicale,2001,Noix de coco,14900038.0,2233460.0,6671.3,8195020.9
Thaïlande,Asie tropicale,2001,Canne à sucre,85206102.0,1208031.0,70533.0,23857708.7
Thaïlande,Asie tropicale,2001,Vanille,39.0,84.0,460.7,1545.2
Thaïlande,Asie tropicale,2001,Café,24690.0,39187.0,630.0,69130.8
Thaïlande,Asie tropicale,2001,Girofle,537.0,690.0,778.3,2418.3
Thaïlande,Asie tropicale,2001,Noix de coco,1155963.0,209295.0,5523.1,635779.7
Indonésie,Asie tropicale,2001,Canne à sucre,31801334.0,476383.0,66755.8,8904373.5
Indonésie,Asie tropicale,2001,Vanille,1981.0,3152.0,628.7,79258.5
Indonésie,Asie tropicale,2001,Café,659667.0,952033.0,692.9,1847068.1
Indonésie,Asie tropicale,2001,Girofle,112093.0,78552.0,1427.0,504419.5
Indonésie,Asie tropicale,2001,Noix de coco,17662029.0,3061703.0,5768.7,9714115.7
Malaisie,Asie tropicale,2001,Canne à sucre,805968.0,8980.0,89751.8,225670.9
Malaisie,Asie tropicale,2001,Vanille,15.0,31.0,486.2,606.6
Malaisie,Asie tropicale,2001,Café,16046.0,29779.0,538.8,44927.7
Malaisie,Asie tropicale,2001,Girofle,1121.0,986.0,1136.8,5044.5
Malaisie,Asie tropicale,2001,Noix de coco,491822.0,75304.0,6531.1,270502.1
Madagascar,Afrique de l'Est,2002,Canne à sucre,2525287.0,45659.0,55307.3,707080.4
Madagascar,Afrique de l'Est,2002,Vanille,2950.0,4583.0,643.7,117996.9
Madagascar,Afrique de l'Est,2002,Café,60562.0,157437.0,384.7,169573.7
Madagascar,Afrique de l'Est,2002,Girofle,15852.0,12970.0,1222.2,71335.4
Madagascar,Afrique de l'Est,2002,Noix de coco,85518.0,23756.0,3599.8,47034.8
Mozambique,Afrique de l'Est,2002,Canne à sucre,4157671.0,68950.0,60300.1,1164147.9
Mozambique,Afrique de l'Est,2002,Vanille,129.0,332.0,389.7,5173.3
Mozambique,Afrique de l'Est,2002,Café,19814.0,70284.0,281.9,55478.7
Mozambique,Afrique de l'Est,2002,Girofle,2185.0,2505.0,872.4,9834.3
Mozambique,Afrique de l'Est,2002,Noix de coco,22243.0,7135.0,3117.6,12233.4
Kenya,Afrique de l'Est,2002,Canne à sucre,5308476.0,74665.0,71097.5,1486373.3
Kenya,Afrique de l'Est,2002,Vanille,81.0,207.0,389.5,3231.8
Kenya,Afrique de l'Est,2002,Café,49317.0,81456.0,605.4,138088.1
Kenya,Afrique de l'Est,2002,Girofle,833.0,1154.0,721.9,3750.2
Kenya,Afrique de l'Est,2002,Noix de coco,141081.0,29538.0,4776.3,77594.8
Tanzania,Afrique de l'Est,2002,Canne à sucre,2288748.0,39536.0,57890.9,640849.6
Tanzania,Afrique de l'Est,2002,Vanille,180.0,408.0,441.3,7196.3
Tanzania,Afrique de l'Est,2002,Café,53567.0,133260.0,402.0,149986.3
Tanzania,Afrique de l'Est,2002,Girofle,12106.0,10875.0,1113.3,54478.9
Tanzania,Afrique de l'Est,2002,Noix de coco,569074.0,117584.0,4839.7,312990.7
Uganda,Afrique de l'Est,2002,Canne à sucre,1668055.0,30802.0,54153.9,467055.3
Uganda,Afrique de l'Est,2002,Vanille,59.0,169.0,347.2,2351.7
Uganda,Afrique de l'Est,2002,Café,285069.0,413880.0,688.8,798192.5
Uganda,Afrique de l'Est,2002,Girofle,197.0,312.0,632.0,888.6
Uganda,Afrique de l'Est,2002,Noix de coco,14744.0,4547.0,3242.7,8109.2
Ethiopia,Afrique de l'Est,2002,Canne à sucre,1287397.0,19202.0,67045.6,360471.2
Ethiopia,Afrique de l'Est,2002,Vanille,33.0,108.0,305.6,1318.2
Ethiopia,Afrique de l'Est,2002,Café,467612.0,641662.0,728.8,1309312.4
Ethiopia,Afrique de l'Est,2002,Girofle,103.0,197.0,521.8,461.9
Maurice,Océan Indien,2002,Canne à sucre,3481602.0,47140.0,73855.9,974848.6
Maurice,Océan Indien,2002,Vanille,,,,
Maurice,Océan Indien,2002,Girofle,153.0,186.0,821.8,686.6
Maurice,Océan Indien,2002,Noix de coco,7618.0,1454.0,5239.5,4189.8
Comores,Océan Indien,2002,Canne à sucre,15263.0,349.0,43744.4,4273.7
Comores,Océan Indien,2002,Vanille,367.0,604.0,607.2,14670.0
Comores,Océan Indien,2002,Café,4881.0,15822.0,308.5,13666.3
Comores,Océan Indien,2002,Girofle,7853.0,7921.0,991.5,35340.0
Comores,Océan Indien,2002,Noix de coco,48662.0,10932.0,4451.2,26763.9
Seychelles,Océan Indien,2002,Vanille,5.0,13.0,411.9,215.8
Seychelles,Océan Indien,2002,Girofle,53.0,66.0,811.7,239.6
Seychelles,Océan Indien,2002,Noix de coco,3430.0,572.0,5991.9,1886.5
Réunion,Océan Indien,2002,Canne à sucre,1971473.0,26398.0,74681.9,552012.4
Réunion,Océan Indien,2002,Vanille,27.0,45.0,609.1,1096.4
Réunion,Océan Indien,2002,Café,495.0,1181.0,418.8,1384.6
Réunion,Océan Indien,2002,Girofle,31.0,34.0,895.1,138.4
Réunion,Océan Indien,2002,Noix de coco,5788.0,956.0,6052.9,3183.4
Brésil,Amériques tropicales,2002,Canne à sucre,809216285.0,11683121.0,69263.7,226580559.7
Brésil,Amériques tropicales,2002,Vanille,164.0,330.0,497.6,6577.9
Brésil,Amériques tropicales,2002,Café,3189219.0,2636140.0,1209.8,8929814.2
Brésil,Amériques tropicales,2002,Girofle,16962.0,13018.0,1302.9,76329.4
Brésil,Amériques tropicales,2002,Noix de coco,2745258.0,474189.0,5789.4,1509891.9
Inde,Asie tropicale,2002,Canne à sucre,332638254.0,4860402.0,68438.4,93138711.1
Inde,Asie tropicale,2002,Vanille,205.0,295.0,695.9,8208.4
Inde,Asie tropicale,2002,Café,355678.0,397090.0,895.7,995897.7
Inde,Asie tropicale,2002,Girofle,75236.0,49380.0,1523.6,338561.2
Inde,Asie tropicale,2002,Noix de coco,15978057.0,2491842.0,6412.1,8787931.3
Thaïlande,Asie tropicale,2002,Canne à sucre,81456482.0,1110609.0,73344.0,22807814.9
Thaïlande,Asie tropicale,2002,Vanille,40.0,89.0,456.6,1619.6
Thaïlande,Asie tropicale,2002,Café,30684.0,49089.0,625.1,85915.5
Thaïlande,Asie tropicale,2002,Girofle,509.0,671.0,758.3,2291.3
Thaïlande,Asie tropicale,2002,Noix de coco,1043434.0,187247.0,5572.5,573888.6
Indonésie,Asie tropicale,2002,Canne à sucre,35019249.0,503754.0,69516.6,9805389.8
Indonésie,Asie tropicale,2002,Vanille,2004.0,3276.0,611.9,80171.7
Indonésie,Asie tropicale,2002,Café,693747.0,981954.0,706.5,1942491.6
Indonésie,Asie tropicale,2002,Girofle,109968.0,80260.0,1370.1,494858.1
Indonésie,Asie tropicale,2002,Noix de coco,18966840.0,3129961.0,6059.8,10431761.9
Malaisie,Asie tropicale,2002,Canne à sucre,731612.0,7748.0,94424.6,204851.5
Malaisie,Asie tropicale,2002,Vanille,15.0,30.0,506.0,616.9
Malaisie,Asie tropicale,2002,Café,19548.0,36812.0,531.0,54735.5
Malaisie,Asie tropicale,2002,Girofle,1255.0,1113.0,1127.1,5645.4
Malaisie,Asie tropicale,2002,Noix de coco,508991.0,73732.0,6903.3,279944.8
Madagascar,Afrique de l'Est,2003,Canne à sucre,2489376.0,40390.0,61633.8,697025.3
Madagascar,Afrique de l'Est,2003,Vanille,2930.0,4535.0,646.1,117199.5
Madagascar,Afrique de l'Est,2003,Café,50334.0,141230.0,356.4,140936.2
Madagascar,Afrique de l'Est,2003,Girofle,14355.0,11706.0,1226.2,64596.7
Madagascar,Afrique de l'Est,2003,Noix de coco,108651.0,29739.0,3653.4,59757.8
Mozambique,Afrique de l'Est,2003,Canne à sucre,3978730.0,67856.0,58634.6,1114044.3
Mozambique,Afrique de l'Est,2003,Vanille,121.0,301.0,401.6,4832.5
Mozambique,Afrique de l'Est,2003,Café,21413.0,76434.0,280.2,59956.4
Mozambique,Afrique de l'Est,2003,Girofle,2191.0,2297.0,953.7,9859.6
Mozambique,Afrique de l'Est,2003,Noix de coco,22689.0,7671.0,2957.9,12479.0
Kenya,Afrique de l'Est,2003,Canne à sucre,4985151.0,65604.0,75988.4,1395842.4
Kenya,Afrique de l'Est,2003,Vanille,86.0,223.0,384.4,3429.0
Kenya,Afrique de l'Est,2003,Café,46276.0,82094.0,563.7,129574.0
Kenya,Afrique de l'Est,2003,Girofle,825.0,1133.0,728.1,3712.6
Kenya,Afrique de l'Est,2003,Noix de coco,145726.0,29354.0,4964.4,80149.1
Tanzania,Afrique de l'Est,2003,Canne à sucre,2606649.0,44305.0,58833.6,729861.7
Tanzania,Afrique de l'Est,2003,Vanille,202.0,461.0,437.5,8074.3
Tanzania,Afrique de l'Est,2003,Café,55068.0,131817.0,417.8,154190.7
Tanzania,Afrique de l'Est,2003,Girofle,13371.0,12388.0,1079.4,60170.1
Tanzania,Afrique de l'Est,2003,Noix de coco,530009.0,109058.0,4859.9,291504.7
Uganda,Afrique de l'Est,2003,Canne à sucre,1686902.0,32516.0,51878.9,472332.6
Uganda,Afrique de l'Est,2003,Vanille,62.0,177.0,350.0,2474.8
Uganda,Afrique de l'Est,2003,Café,280761.0,383782.0,731.6,786131.8
Uganda,Afrique de l'Est,2003,Girofle,203.0,302.0,671.9,911.7
Uganda,Afrique de l'Est,2003,Noix de coco,14638.0,4958.0,2952.7,8051.1
Ethiopia,Afrique de l'Est,2003,Canne à sucre,,,,
Ethiopia,Afrique de l'Est,2003,Vanille,29.0,95.0,308.5,1166.7
Ethiopia,Afrique de l'Est,2003,Café,540160.0,701701.0,769.8,1512447.2
Ethiopia,Afrique de l'Est,2003,Girofle,89.0,184.0,484.5,400.2
Maurice,Océan Indien,2003,Canne à sucre,3693142.0,53528.0,68994.9,1034079.6
Maurice,Océan Indien,2003,Vanille,10.0,21.0,484.3,409.2
Maurice,Océan Indien,2003,Girofle,211.0,248.0,850.8,947.9
Maurice,Océan Indien,2003,Noix de coco,7794.0,1448.0,5383.2,4286.6
Comores,Océan Indien,2003,Canne à sucre,14839.0,296.0,50066.2,4154.9
Comores,Océan Indien,2003,Vanille,369.0,624.0,591.4,14757.1
Comores,Océan Indien,2003,Café,4930.0,13915.0,354.3,13804.9
Comores,Océan Indien,2003,Girofle,7661.0,7296.0,1050.0,34474.0
Comores,Océan Indien,2003,Noix de coco,49389.0,9685.0,5099.6,27164.2
Seychelles,Océan Indien,2003,Vanille,4.0,9.0,451.2,168.5
Seychelles,Océan Indien,2003,Girofle,48.0,60.0,802.2,216.2
Seychelles,Océan Indien,2003,Noix de coco,3057.0,478.0,6389.7,1681.3
Réunion,Océan Indien,2003,Canne à sucre,1841389.0,25920.0,71042.5,515589.0
Réunion,Océan Indien,2003,Vanille,27.0,47.0,577.0,1078.3
Réunion,Océan Indien,2003,Café,569.0,1244.0,457.0,1591.9
Réunion,Océan Indien,2003,Girofle,31.0,32.0,954.1,138.1
Réunion,Océan Indien,2003,Noix de coco,5972.0,1022.0,5846.0,3284.6
Brésil,Amériques tropicales,2003,Canne à sucre,808098185.0,11176158.0,72305.5,226267491.9
Brésil,Amériques tropicales,2003,Vanille,158.0,325.0,486.4,6331.4
Brésil,Amériques tropicales,2003,Café,3112234.0,2460616.0,1264.8,8714254.5
Brésil,Amériques tropicales,2003,Girofle,17039.0,12978.0,1312.9,76677.0
Brésil,Amériques tropicales,2003,Noix de coco,2666921.0,428146.0,6229.0,1466806.6
Inde,Asie tropicale,2003,Canne à sucre,365468329.0,5445943.0,67108.4,102331132.1
Inde,Asie tropicale,2003,Vanille,207.0,304.0,681.5,8287.3
Inde,Asie tropicale,2003,Café,318280.0,370728.0,858.5,891184.5
Inde,Asie tropicale,2003,Girofle,74737.0,46811.0,1596.6,336314.9
Inde,Asie tropicale,2003,Noix de coco,15290650.0,2429519.0,6293.7,8409857.7
Thaïlande,Asie tropicale,2003,Canne à sucre,84079832.0,1171415.0,71776.3,23542353.0
Thaïlande,Asie tropicale,2003,Vanille,39.0,84.0,460.5,1551.4
Thaïlande,Asie tropicale,2003,Café,27864.0,48157.0,578.6,78019.1
Thaïlande,Asie tropicale,2003,Girofle,512.0,638.0,801.5,2302.5
Thaïlande,Asie tropicale,2003,Noix de coco,1138534.0,219415.0,5189.0,626193.7
Indonésie,Asie tropicale,2003,Canne à sucre,32743253.0,530193.0,61757.2,9168110.8
Indonésie,Asie tropicale,2003,Vanille,2108.0,3354.0,628.7,84334.4
Indonésie,Asie tropicale,2003,Café,688690.0,1043792.0,659.8,1928331.1
Indonésie,Asie tropicale,2003,Girofle,104746.0,72531.0,1444.2,471359.1
Indonésie,Asie tropicale,2003,Noix de coco,18379025.0,3200998.0,5741.7,10108463.5
Malaisie,Asie tropicale,2003,Canne à sucre,846922.0,8484.0,99824.6,237138.1
Malaisie,Asie tropicale,2003,Vanille,15.0,28.0,511.6,583.1
Malaisie,Asie tropicale,2003,Café,19629.0,38949.0,504.0,54960.4
Malaisie,Asie tropicale,2003,Girofle,1179.0,1033.0,1141.3,5304.3
Malaisie,Asie tropicale,2003,Noix de coco,,,,
Madagascar,Afrique de l'Est,2004,Canne à sucre,2760760.0,48185.0,57295.0,773012.8
Madagascar,Afrique de l'Est,2004,Vanille,3267.0,4942.0,661.1,130697.4
Madagascar,Afrique de l'Est,2004,Café,61407.0,166927.0,367.9,171940.3
Madagascar,Afrique de l'Est,2004,Girofle,14110.0,11311.0,1247.4,63494.4
Madagascar,Afrique de l'Est,2004,Noix de coco,106205.0,29219.0,3634.8,58412.9
Mozambique,Afrique de l'Est,2004,Canne à sucre,3813294.0,61461.0,62043.8,1067722.2
Mozambique,Afrique de l'Est,2004,Vanille,112.0,282.0,395.9,4463.3
Mozambique,Afrique de l'Est,2004,Café,24949.0,84320.0,295.9,69856.1
Mozambique,Afrique de l'Est,2004,Girofle,2070.0,2079.0,995.8,9314.1
Mozambique,Afrique de l'Est,2004,Noix de coco,21619.0,7027.0,3076.7,11890.7
Kenya,Afrique de l'Est,2004,Canne à sucre,5904663.0,78041.0,75661.1,1653305.6
Kenya,Afrique de l'Est,2004,Vanille,81.0,214.0,378.9,3237.8
Kenya,Afrique de l'Est,2004,Café,48125.0,78123.0,616.0,134751.3
Kenya,Afrique de l'Est,2004,Girofle,789.0,1093.0,722.5,3552.5
Kenya,Afrique de l'Est,2004,Noix de coco,146415.0,28896.0,5066.9,80528.3
Tanzania,Afrique de l'Est,2004,Canne à sucre,2480518.0,39965.0,62066.9,694545.0
Tanzania,Afrique de l'Est,2004,Vanille,215.0,505.0,427.0,8619.3
Tanzania,Afrique de l'Est,2004,Café,55059.0,129165.0,426.3,154164.5
Tanzania,Afrique de l'Est,2004,Girofle,11860.0,11262.0,1053.1,53371.2
Tanzania,Afrique de l'Est,2004,Noix de coco,544375.0,105838.0,5143.5,299406.4
Uganda,Afrique de l'Est,2004,Canne à sucre,1805482.0,31913.0,56574.7,505534.9
Uganda,Afrique de l'Est,2004,Vanille,59.0,157.0,372.3,2342.6
Uganda,Afrique de l'Est,2004,Café,280794.0,429805.0,653.3,786223.9
Uganda,Afrique de l'Est,2004,Girofle,214.0,340.0,630.7,964.6
Uganda,Afrique de l'Est,2004,Noix de coco,14940.0,4712.0,3170.7,8217.0
Ethiopia,Afrique de l'Est,2004,Canne à sucre,1130134.0,17348.0,65145.1,316437.6
Ethiopia,Afrique de l'Est,2004,Vanille,30.0,92.0,324.6,1199.3
Ethiopia,Afrique de l'Est,2004,Café,506506.0,666838.0,759.6,1418216.6
Ethiopia,Afrique de l'Est,2004,Girofle,90.0,179.0,500.6,403.7
Maurice,Océan Indien,2004,Canne à sucre,3782772.0,49453.0,76492.8,1059176.1
Maurice,Océan Indien,2004,Vanille,11.0,22.0,478.0,424.7
Maurice,Océan Indien,2004,Girofle,229.0,248.0,923.2,1028.4
Maurice,Océan Indien,2004,Noix de coco,9149.0,1661.0,5508.8,5032.1
Comores,Océan Indien,2004,Canne à sucre,17744.0,368.0,48241.6,4968.3
Comores,Océan Indien,2004,Vanille,,,,
Comores,Océan Indien,2004,Café,4815.0,14924.0,322.6,13480.9
Comores,Océan Indien,2004,Girofle,7920.0,7765.0,1019.9,35639.6
Comores,Océan Indien,2004,Noix de coco,54808.0,11783.0,4651.3,30144.7
Seychelles,Océan Indien,2004,Vanille,6.0,12.0,464.0,230.1
Seychelles,Océan Indien,2004,Girofle,53.0,66.0,803.1,239.4
Seychelles,Océan Indien,2004,Noix de coco,3476.0,616.0,5638.8,1911.6
Réunion,Océan Indien,2004,Canne à sucre,1799395.0,24260.0,74170.2,503830.5
Réunion,Océan Indien,2004,Vanille,25.0,41.0,616.0,1003.9
Réunion,Océan Indien,2004,Café,526.0,1247.0,421.7,1472.6
Réunion,Océan Indien,2004,Girofle,29.0,33.0,883.5,132.3
Réunion,Océan Indien,2004,Noix de coco,5646.0,927.0,6091.3,3105.1
Brésil,Amériques tropicales,2004,Canne à sucre,752773738.0,10036060.0,75006.9,210776646.5
Brésil,Amériques tropicales,2004,Vanille,,,,
Brésil,Amériques tropicales,2004,Café,3144496.0,2396613.0,1312.1,8804588.3
